user_id,session_frequency,session_duration_minutes,engagement_score,days_since_last_login,app_opens_per_day,notification_click_rate,purchases_made,churn_risk_score,age,gender,device_type,subscription_type,cluster,pca1,pca2,segment
U100000,2.981125059026082,5.044008720804788,22.28426709068023,11.799676751284917,0.7355300302308769,0.10136409772253063,0,55.03245248699599,63,Female,iOS,Free,0,-2.16230234347316,-0.32049381201991484,Low Engagement / At-Risk Users
U100001,16.015749833481188,30.95786214687293,92.54792055728737,0.0,6.897295649108912,0.5574565055280086,5,3.4505383733648216,28,Male,iOS,Premium,3,3.9711237056897537,0.6066994643988872,High Engagement Users
U100002,14.296776235028782,31.72907586777464,53.857581627059076,0.6837334266675092,8.558382064851127,0.5432392788542292,4,1.7758012522215108,46,Male,Android,Free,3,3.359752399583404,0.6026157024465861,High Engagement Users
U100003,6.734948551891135,14.998132356798287,65.70610578120859,2.36947988667631,3.3890822621698504,0.27876233125812655,3,24.741690868985586,24,Female,Android,Free,1,0.8692220938585464,-0.04955305368381702,Moderate Engagement Users
U100004,2.9363842250372567,6.090380318449737,24.035304605587005,17.697971290022245,1.4481981049365824,0.17218026289029173,1,67.71704410201879,53,Male,Android,Free,0,-2.093365754596996,0.45411256633179803,Low Engagement / At-Risk Users
U100005,1.2458153821265454,3.0560758191240724,26.676053346323137,28.496635374178737,0.32219128628988425,0.0,0,55.844775441914315,61,Male,Android,Premium,2,-3.053665869666289,0.863811166668129,Occasional Users
U100006,12.90144196834097,28.943360311208632,92.43067099708715,0.0,7.828385311166502,0.49811127419430323,7,10.072706056805487,36,Female,Android,Premium,3,3.9397312867745238,1.2613281954038775,High Engagement Users
U100007,1.2844069633938497,5.575617191873304,15.177333060597467,29.722471282852418,0.3772938276209548,0.03004109272623467,0,63.12389100866781,31,Female,Android,Free,2,-3.2057216180695796,1.0445115445375244,Occasional Users
U100008,13.07872892670818,28.617913613437498,87.49822189096646,0.29086463189917816,11.286305509608322,0.5140820012061891,1,9.08461113392683,23,Female,Android,Free,3,3.3077782133424263,-0.6313507652172458,High Engagement Users
U100009,3.2608618340003037,5.0238692672321825,37.23827738577589,13.119541595088801,1.1667992035234815,0.009382129389966729,0,68.86543701414355,19,Female,iOS,Free,0,-2.318991661416905,-0.32006489097099267,Low Engagement / At-Risk Users
